[2025-03-07 18:36:33.271902] [2130] [info] Event type: file_read, amount: 124, rate: 0.03452073598286086 per second
[2025-03-07 18:36:33.271903] [2130] [info] Event type: pivot_root, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271904] [2130] [info] Event type: memory_dump, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271905] [2130] [info] Event type: user_modify, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271906] [2130] [info] Event type: file_chattr, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271907] [2130] [info] Event type: commit_creds_pe, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271908] [2130] [info] Event type: remote_brute_force_attempt, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271909] [2130] [info] Event type: kill, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271911] [2130] [info] Event type: python27_readline, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271911] [2130] [info] Event type: agent_start, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271913] [2130] [info] Event type: execv, amount: 205, rate: 0.05707053231035392 per second
[2025-03-07 18:36:33.271914] [2130] [info] Event type: memory_protection, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271915] [2130] [info] Event type: finit_module, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271916] [2130] [info] Event type: file_create, amount: 745, rate: 0.20712564082718227 per second
[2025-03-07 18:36:33.271917] [2130] [info] Event type: mount, amount: 348, rate: 0.10547880719421765 per second
[2025-03-07 18:36:33.271918] [2130] [info] Event type: software_packing, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271919] [2130] [info] Event type: invalid, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271920] [2130] [info] Event type: user_login_attempt, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271920] [2130] [info] Event type: file_chmod, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271921] [2130] [info] Event type: cron_modification, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271922] [2130] [info] Event type: ransomware_decoy, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271923] [2130] [info] Event type: exit, amount: 217, rate: 0.060411208405785254 per second
[2025-03-07 18:36:33.271924] [2130] [info] Event type: shell_set_env, amount: 41, rate: 0.01249068674216429 per second
[2025-03-07 18:36:33.271925] [2130] [info] Event type: socket_filter_attachment, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271926] [2130] [info] Event type: file_move, amount: 745, rate: 0.20712569697883107 per second
[2025-03-07 18:36:33.271927] [2130] [info] Event type: readdir, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271928] [2130] [info] Event type: chroot, amount: 12, rate: 0.0036372038898919087 per second
[2025-03-07 18:36:33.271929] [2130] [info] Event type: file_open_inline, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271930] [2130] [info] Event type: setns, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271936] [2130] [info] Event type: unauthorized_splice, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271937] [2130] [info] Event type: remote_brute_force_access, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271938] [2130] [info] Event type: tcp_accept, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271943] [2130] [info] Event type: python27_script_content, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271944] [2130] [info] Event type: elf_scan, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271946] [2130] [info] Event type: piped_execv, amount: 1, rate: inf per second
[2025-03-07 18:36:33.271947] [2130] [info] Event type: smb_connect, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271948] [2130] [info] Event type: bash_set_signal, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271949] [2130] [info] Event type: file_delete, amount: 14, rate: 0.003900101560926763 per second
[2025-03-07 18:36:33.271950] [2130] [info] Event type: umount, amount: 156, rate: 0.047283729101799295 per second
[2025-03-07 18:36:33.271951] [2130] [info] Event type: disarm_kprobes, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271952] [2130] [info] Event type: pam_login, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271953] [2130] [info] Event type: file_chown, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271954] [2130] [info] Event type: setuid_root, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271955] [2130] [info] Event type: ransomware_fs_activity, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271956] [2130] [info] Event type: chdir, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271957] [2130] [info] Event type: shell_unset_env, amount: 82, rate: 0.024981380819729334 per second
[2025-03-07 18:36:33.271958] [2130] [info] Event type: system_call_hook, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271959] [2130] [info] Event type: file_scanned, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271960] [2130] [info] Event type: kernel_module_load, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271960] [2130] [info] Event type: agent_kill_attempt, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271962] [2130] [info] Event type: file_close_write, amount: 1111, rate: 0.3088812819740927 per second
[2025-03-07 18:36:33.271963] [2130] [info] Event type: unshare, amount: 36, rate: 0.010911599996619463 per second
[2025-03-07 18:36:33.271964] [2130] [info] Event type: dns, amount: 94, rate: 0.027621044617130185 per second
[2025-03-07 18:36:33.271965] [2130] [info] Event type: local_brute_force_attempt, amount: 0, rate: 0 per second
[2025-03-07 18:36:33.271966] [2130] [info] Overall amount: 4323, rate: 1.201884160333563 per second
[2025-03-07 19:36:33.271712] [11044] [info] --- Events Metadata ---
[2025-03-07 19:36:33.271765] [11044] [info] Top events by path:
[2025-03-07 19:36:33.271815] [11044] [info] Destination path: /var/ossec/var/run/, amount: 2940, rate: -1.6890217026231905e-06 per second
[2025-03-07 19:36:33.271817] [11044] [info] Destination path: /var/ossec/var/, amount: 2940, rate: -1.6890217026231905e-06 per second
[2025-03-07 19:36:33.271819] [11044] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state.temp, amount: 2160, rate: 0.600800891107198 per second
[2025-03-07 19:36:33.271820] [11044] [info] Destination path: /var/ossec/var/run/wazuh-agentd.state, amount: 720, rate: 0.20026329251704222 per second
[2025-03-07 19:36:33.271821] [11044] [info] Destination path: /sys/fs/cgroup/, amount: 225, rate: 0.06819781588890844 per second
[2025-03-07 19:36:33.271823] [11044] [info] Destination path: /sys/fs/cgroup/system.slice/, amount: 225, rate: 0.06819781588890844 per second
[2025-03-07 19:36:33.271824] [11044] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/, amount: 180, rate: 0.054558252711126756 per second
[2025-03-07 19:36:33.271825] [11044] [info] Destination path: /run/systemd/journal/streams/, amount: 75, rate: 0.020893424054089213 per second
[2025-03-07 19:36:33.271826] [11044] [info] Destination path: /run/systemd/journal/, amount: 75, rate: 0.020893424054089213 per second
[2025-03-07 19:36:33.271827] [11044] [info] Destination path: /var/ossec/var/run/wazuh-logcollector.state, amount: 60, rate: 0.01694914978577082 per second
[2025-03-07 19:36:33.271828] [11044] [info] Destination path: /sys/devices/system/cpu/online, amount: 59, rate: 0.016666656570100278 per second
[2025-03-07 19:36:33.271829] [11044] [info] Destination path: /sys/devices/system/, amount: 59, rate: 0.016666656570100278 per second
[2025-03-07 19:36:33.271830] [11044] [info] Destination path: /sys/devices/system/cpu/, amount: 59, rate: 0.016666656570100278 per second
[2025-03-07 19:36:33.271831] [11044] [info] Destination path: /var/ossec/queue/logcollector/file_status.json, amount: 56, rate: 0.015905475434891424 per second
[2025-03-07 19:36:33.271832] [11044] [info] Destination path: /var/ossec/queue/logcollector/, amount: 56, rate: 0.015905475434891424 per second
[2025-03-07 19:36:33.271833] [11044] [info] Destination path: /etc/passwd, amount: 41, rate: 0.01250288872693742 per second
[2025-03-07 19:36:33.271834] [11044] [info] Destination path: /var/ossec/logs/ossec.log, amount: 39, rate: 0.01089385398907655 per second
[2025-03-07 19:36:33.271835] [11044] [info] Destination path: /sys/fs/cgroup/system.slice/nm-cloud-setup.service/cgroup.procs, amount: 24, rate: 0.007274445653319022 per second
[2025-03-07 19:36:33.271836] [11044] [info] Destination path: /etc/hosts, amount: 24, rate: 0.007272727456652346 per second
[2025-03-07 19:36:33.271837] [11044] [info] Destination path: /etc/resolv.conf, amount: 13, rate: 0.0039393939821781455 per second
[2025-03-07 19:36:33.271838] [11044] [info] Top binaries:
[2025-03-07 19:36:33.271848] [11044] [info] Source path: /var/ossec/bin/wazuh-agentd, amount: 2199, rate: 0.6112406997342946 per second
[2025-03-07 19:36:33.271849] [11044] [info] Source path: /usr/lib/systemd/systemd, amount: 816, rate: 0.2473290452991105 per second
[2025-03-07 19:36:33.271850] [11044] [info] Source path: /usr/bin/bash, amount: 331, rate: 0.10093776870478126 per second
[2025-03-07 19:36:33.271851] [11044] [info] Source path: /usr/bin/ps, amount: 177, rate: 0.04999996489765176 per second
[2025-03-07 19:36:33.271853] [11044] [info] Source path: /usr/bin/python3.9, amount: 142, rate: 44.507622031825555 per second
[2025-03-07 19:36:33.271854] [11044] [info] Source path: /usr/bin/ssm-agent-worker, amount: 126, rate: 0.03711996109543449 per second
[2025-03-07 19:36:33.271855] [11044] [info] Source path: /usr/bin/hostname, amount: 120, rate: 0.036363627497434665 per second
[2025-03-07 19:36:33.271856] [11044] [info] Source path: /usr/bin/amazon-ssm-agent, amount: 69, rate: 0.01949151429528549 per second
[2025-03-07 19:36:33.271857] [11044] [info] Source path: /usr/libexec/nm-cloud-setup, amount: 67, rate: 0.020307716970826742 per second
[2025-03-07 19:36:33.271906] [11044] [info] Source path: /usr/bin/sed, amount: 63, rate: 0.019425209123119645 per second
[2025-03-07 19:36:33.271908] [11044] [info] Overall events:
[2025-03-07 19:36:33.271910] [11044] [info] Event type: user_login, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271911] [11044] [info] Event type: tcp_connect, amount: 155, rate: 0.043218294415816046 per second
[2025-03-07 19:36:33.271913] [11044] [info] Event type: python_exec, amount: 30, rate: 10513.861474968598 per second
[2025-03-07 19:36:33.271914] [11044] [info] Event type: ransomware_verdict, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271916] [11044] [info] Event type: fork, amount: 219, rate: 0.060981635297488214 per second
[2025-03-07 19:36:33.271917] [11044] [info] Event type: shell_command, amount: 31, rate: 0.00955842899588516 per second
[2025-03-07 19:36:33.271918] [11044] [info] Event type: pam_modification, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271919] [11044] [info] Event type: file_read, amount: 137, rate: 0.03814835648048487 per second
[2025-03-07 19:36:33.271920] [11044] [info] Event type: pivot_root, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271921] [11044] [info] Event type: memory_dump, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271922] [11044] [info] Event type: user_modify, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271923] [11044] [info] Event type: file_chattr, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271924] [11044] [info] Event type: commit_creds_pe, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271926] [11044] [info] Event type: remote_brute_force_attempt, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271927] [11044] [info] Event type: kill, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271927] [11044] [info] Event type: python27_readline, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271928] [11044] [info] Event type: agent_start, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271929] [11044] [info] Event type: execv, amount: 206, rate: 0.057361720513604414 per second
[2025-03-07 19:36:33.271930] [11044] [info] Event type: memory_protection, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271931] [11044] [info] Event type: finit_module, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271932] [11044] [info] Event type: file_create, amount: 764, rate: 0.2124082800940053 per second
[2025-03-07 19:36:33.271936] [11044] [info] Event type: mount, amount: 348, rate: 0.10547889629873684 per second
[2025-03-07 19:36:33.271937] [11044] [info] Event type: software_packing, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271939] [11044] [info] Event type: invalid, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271940] [11044] [info] Event type: user_login_attempt, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271941] [11044] [info] Event type: file_chmod, amount: 3, rate: 1.8706944097465272 per second
[2025-03-07 19:36:33.271942] [11044] [info] Event type: cron_modification, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271943] [11044] [info] Event type: ransomware_decoy, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271944] [11044] [info] Event type: exit, amount: 218, rate: 0.060703127229859766 per second
[2025-03-07 19:36:33.271945] [11044] [info] Event type: shell_set_env, amount: 41, rate: 0.012502888559054978 per second
[2025-03-07 19:36:33.271945] [11044] [info] Event type: socket_filter_attachment, amount: 0, rate: 0 per second
[2025-03-07 19:36:33.271946] [11044] [info] Event type: file_move, amount: 750, rate: 0.20851598204965063 per second
